timestamp,cpu,memory,packet_size,protocol,predicted_label
2025-06-02 12:11:11,29.16860465116279,89.37674418604652,269.24418604651163,TCP,normal
2025-06-02 12:11:16,9.172727272727274,87.05454545454546,86.54545454545455,TCP,normal
2025-06-02 12:11:21,20.479310344827585,85.7948275862069,214.3793103448276,UDP,normal
2025-06-02 12:11:26,30.945614035087722,86.48947368421052,332.2631578947368,UDP,normal
2025-06-02 12:11:31,46.715865384615384,87.03653846153846,391.22596153846155,UDP,normal
2025-06-02 12:11:36,29.15686274509804,87.19215686274511,161.35294117647058,UDP,normal
2025-06-02 12:11:41,18.19516129032258,87.20161290322581,155.56451612903226,UDP,normal
2025-06-02 12:11:46,15.006666666666666,87.04444444444445,174.13333333333333,UDP,normal
2025-06-02 12:11:51,7.216129032258064,86.79032258064517,137.29032258064515,UDP,normal
2025-06-02 12:11:56,14.889024390243904,86.74878048780488,238.4268292682927,UDP,normal
2025-06-02 12:12:01,15.377358490566039,86.11698113207547,301.39622641509436,UDP,normal
2025-06-02 12:12:06,15.935555555555556,86.19333333333333,193.95555555555555,UDP,normal
2025-06-02 12:12:11,19.89782608695652,86.45,243.94565217391303,TCP,normal
2025-06-02 12:12:56,16.497826086956522,86.6608695652174,88.58695652173913,UDP,normal
2025-06-02 12:13:01,16.81904761904762,85.76190476190476,113.66666666666667,TCP,normal
2025-06-02 12:13:06,17.013483146067415,85.55505617977528,259.85393258426967,UDP,normal
2025-06-02 12:16:18,14.919354838709678,88.46451612903226,103.35483870967742,TCP,normal
2025-06-02 12:16:24,14.808823529411764,88.29705882352941,92.55882352941177,UDP,normal
2025-06-02 12:16:29,36.04362416107382,88.4275167785235,226.54362416107384,UDP,normal
2025-06-02 12:16:34,17.1,88.5,296.6140350877193,UDP,normal
2025-06-02 12:16:39,19.34421052631579,88.5,462.42105263157896,UDP,ddos
2025-06-02 12:16:45,16.476470588235294,88.5,120.27450980392157,UDP,normal
2025-06-02 12:16:50,14.78235294117647,88.5,80.03921568627452,UDP,normal
2025-06-02 12:16:55,15.911666666666667,88.5,89.65,UDP,normal
2025-06-02 12:17:00,15.966666666666667,88.41333333333334,109.2,TCP,normal
2025-06-02 12:17:05,11.164285714285713,88.39285714285714,115.78571428571429,UDP,normal
2025-06-02 12:17:10,15.047058823529412,88.39019607843139,323.0098039215686,UDP,normal
2025-06-02 12:17:15,15.399999999999999,88.31153846153846,88.65384615384616,TCP,normal
2025-06-02 12:17:20,23.95,88.3,112.75,UDP,normal
2025-06-02 12:17:25,18.49411764705882,88.3,240.01470588235293,UDP,normal
2025-06-02 12:17:30,35.98465909090909,88.5215909090909,319.9488636363636,UDP,normal
2025-06-02 12:17:35,12.865,88.55499999999999,73.15,UDP,normal
2025-06-02 12:17:40,16.289473684210527,88.5,276.2105263157895,UDP,normal
2025-06-02 12:17:45,16.45625,88.5,331.234375,UDP,normal
2025-06-02 12:17:50,22.287912087912087,87.18461538461537,191.96703296703296,UDP,normal
2025-06-02 12:17:55,17.391935483870967,87.1,137.53225806451613,UDP,normal
2025-06-02 12:18:00,15.38,87.36999999999999,86.4,UDP,normal
2025-06-02 12:18:05,8.572222222222223,87.98333333333333,109.83333333333333,TCP,normal
2025-06-02 12:18:10,18.846153846153847,87.7,77.46153846153847,UDP,normal
2025-06-02 12:18:15,13.126,87.70200000000001,420.04,UDP,ddos
2025-06-02 12:18:20,14.72857142857143,87.79523809523809,200.42857142857142,UDP,normal
2025-06-02 12:18:25,17.4375,87.8,89.1875,UDP,normal
2025-06-02 12:18:30,29.43448275862069,88.29901477832513,338.46305418719214,UDP,normal
2025-06-02 12:18:35,11.509638554216867,88.3,324.2168674698795,UDP,normal
2025-06-02 12:18:40,16.779999999999998,88.3,85.4,UDP,normal
2025-06-02 12:18:45,22.866,88.3,329.2,UDP,normal
2025-06-02 12:18:50,18.68235294117647,88.3,230.05882352941177,UDP,normal
2025-06-02 12:18:55,21.425833333333333,88.3,575.1333333333333,TCP,ddos
2025-06-02 12:19:00,22.74705882352941,88.1470588235294,72.82352941176471,UDP,normal
2025-06-02 12:19:05,18.61176470588235,87.98235294117647,137.35294117647058,TCP,normal
2025-06-02 12:19:10,30.558823529411764,87.97254901960785,86.25490196078431,UDP,normal
2025-06-02 12:19:15,35.61844660194175,88.34660194174758,325.81553398058253,TCP,normal
2025-06-02 19:29:00,25.254744525547444,93.25656934306569,254.7810218978102,TCP,ddos
2025-06-02 19:29:05,29.2347533632287,93.41816143497758,2278.47533632287,TCP,ddos
2025-06-02 19:29:11,17.256704980842912,92.04904214559387,223.0344827586207,UDP,ddos
2025-06-02 19:29:16,35.252876712328764,89.50465753424658,1706.0054794520547,TCP,ddos
2025-06-02 19:29:21,65.61484716157204,89.89781659388646,1592.438864628821,TCP,ddos
2025-06-02 19:30:46,74.68039215686274,94.25294117647059,217.2549019607843,TCP,ddos
2025-06-02 19:30:52,15.480208333333332,94.33645833333333,388.4583333333333,UDP,ddos
2025-06-02 19:30:57,14.864285714285714,93.95,300.34285714285716,UDP,ddos
2025-06-02 19:31:02,29.355223880597013,93.55074626865672,312.1194029850746,TCP,ddos
2025-06-02 19:31:07,48.7938679245283,93.56981132075471,547.9245283018868,UDP,ddos
2025-06-02 19:31:12,34.013061224489796,93.29367346938776,683.4714285714285,TCP,ddos
2025-06-02 19:31:17,47.77932692307692,93.02524038461539,433.9831730769231,TCP,ddos
2025-06-02 19:31:22,93.66515837104072,93.68461538461538,949.3212669683257,TCP,ddos
